model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
0,0_trigger,,71,0.034603174163251725,99.97777777777777,8998,9000
1,1_trigger,,71,1.6074338118384282,99.52222222222223,8957,9000
2,2_trigger,,71,0.29233049858940974,99.95555555555555,8996,9000
3,3_trigger,,71,15.919735686159205,96.1,8649,9000
4,4_trigger,,71,0.0,100.0,9000,9000
5,5_trigger,,71,6.926866738213433,99.14444444444445,8923,9000
6,6_trigger,,71,1.8591138526068793,99.8,8982,9000
7,7_trigger,,71,4.398394912066907,99.22222222222223,8930,9000
8,8_trigger,,71,1.7754572982655341,99.75555555555556,8978,9000
9,9_trigger,,71,5.1470852124691,99.11111111111111,8920,9000
10,10_trigger,,71,0.8123248969184028,99.86666666666667,8988,9000
11,11_trigger,,71,0.8210157269018008,99.58888888888889,8963,9000
12,12_trigger,,71,0.9559554985894098,99.9,8991,9000
13,13_trigger,,71,3.013448988172743,99.6888888888889,8972,9000
14,14_trigger,,71,1.6384992837717547,99.73333333333333,8976,9000
15,15_trigger,,71,0.3094550275802612,99.87777777777778,8989,9000
16,16_trigger,,71,0.21291090901692708,99.97777777777777,8998,9000
17,17_trigger,,71,1.1288363408512538,99.73333333333333,8976,9000
18,18_trigger,,71,0.5965453535765927,99.91111111111111,8992,9000
19,19_trigger,,71,0.6128294028908713,99.78888888888889,8981,9000
global,combine,,71,7.802317371368408,3.1333333333333333,282,9000
global,global_in_0_trigger,,71,8.083113614400228,2.4,216,9000
global,global_in_1_trigger,,71,7.934232064988878,3.277777777777778,295,9000
global,global_in_2_trigger,,71,8.112623878055148,2.311111111111111,208,9000
global,global_in_3_trigger,,71,7.802317353142632,3.1333333333333333,282,9000
global,global_in_4_trigger,,71,8.083113589816623,2.4,216,9000
global,global_in_5_trigger,,71,7.934232083214654,3.277777777777778,295,9000
global,global_in_6_trigger,,71,8.112623887379964,2.311111111111111,208,9000
global,global_in_7_trigger,,71,7.802317372639974,3.1333333333333333,282,9000
global,global_in_8_trigger,,71,8.083113588545057,2.4,216,9000
global,global_in_9_trigger,,71,7.934232076009114,3.277777777777778,295,9000
global,global_in_10_trigger,,71,8.112623882929483,2.311111111111111,208,9000
global,global_in_11_trigger,,71,7.802317347208659,3.1333333333333333,282,9000
global,global_in_12_trigger,,71,8.083113614400228,2.4,216,9000
global,global_in_13_trigger,,71,7.934232080247667,3.277777777777778,295,9000
global,global_in_14_trigger,,71,8.112623870425754,2.311111111111111,208,9000
global,global_in_15_trigger,,71,7.802317367129856,3.1333333333333333,282,9000
global,global_in_16_trigger,,71,8.083113602532281,2.4,216,9000
global,global_in_17_trigger,,71,7.934232082366943,3.277777777777778,295,9000
global,global_in_18_trigger,,71,8.112623913235135,2.311111111111111,208,9000
global,global_in_19_trigger,,71,7.802317374335395,3.1333333333333333,282,9000
0,0_trigger,,72,0.06535074191623264,99.9888888888889,8999,9000
1,1_trigger,,72,3.5932981147311995,99.43333333333332,8949,9000
2,2_trigger,,72,0.004263142903645834,99.9888888888889,8999,9000
3,3_trigger,,72,9.125469734801154,98.0,8820,9000
4,4_trigger,,72,0.24595967441134983,99.94444444444444,8995,9000
5,5_trigger,,72,0.17785565185546875,99.94444444444444,8995,9000
6,6_trigger,,72,0.21174953079223632,99.97777777777777,8998,9000
7,7_trigger,,72,0.6490049330786803,99.76666666666667,8979,9000
8,8_trigger,,72,0.0,100.0,9000,9000
9,9_trigger,,72,6.673127918120888,99.33333333333333,8940,9000
10,10_trigger,,72,0.057072252061631946,99.96666666666667,8997,9000
11,11_trigger,,72,30.698445443851448,94.42222222222222,8498,9000
12,12_trigger,,72,0.03646964857313368,99.97777777777777,8998,9000
13,13_trigger,,72,1.762006457593706,99.74444444444444,8977,9000
14,14_trigger,,72,0.26878628709581165,99.91111111111111,8992,9000
15,15_trigger,,72,4.130872609009285,98.7,8883,9000
16,16_trigger,,72,0.0,100.0,9000,9000
17,17_trigger,,72,3.984564978732003,99.47777777777777,8953,9000
18,18_trigger,,72,0.9470673656463169,99.85555555555555,8987,9000
19,19_trigger,,72,0.10756247957547506,99.92222222222222,8993,9000
global,combine,,72,8.496650445302327,3.4888888888888885,314,9000
global,global_in_0_trigger,,72,8.817212170494928,2.888888888888889,260,9000
global,global_in_1_trigger,,72,8.651619140201145,3.5999999999999996,324,9000
global,global_in_2_trigger,,72,8.859416265275744,2.722222222222222,245,9000
global,global_in_3_trigger,,72,8.496650466918945,3.4888888888888885,314,9000
global,global_in_4_trigger,,72,8.817212172614203,2.888888888888889,260,9000
global,global_in_5_trigger,,72,8.651619111378988,3.5999999999999996,324,9000
global,global_in_6_trigger,,72,8.859416280958387,2.722222222222222,245,9000
global,global_in_7_trigger,,72,8.496650466918945,3.4888888888888885,314,9000
global,global_in_8_trigger,,72,8.81721217727661,2.888888888888889,260,9000
global,global_in_9_trigger,,72,8.651619138081868,3.5999999999999996,324,9000
global,global_in_10_trigger,,72,8.85941626018948,2.722222222222222,245,9000
global,global_in_11_trigger,,72,8.49665045759413,3.4888888888888885,314,9000
global,global_in_12_trigger,,72,8.817212173038058,2.888888888888889,260,9000
global,global_in_13_trigger,,72,8.651619139353434,3.5999999999999996,324,9000
global,global_in_14_trigger,,72,8.859416265275744,2.722222222222222,245,9000
global,global_in_15_trigger,,72,8.49665045759413,3.4888888888888885,314,9000
global,global_in_16_trigger,,72,8.817212170918783,2.888888888888889,260,9000
global,global_in_17_trigger,,72,8.65161915122138,3.5999999999999996,324,9000
global,global_in_18_trigger,,72,8.859416293674045,2.722222222222222,245,9000
global,global_in_19_trigger,,72,8.496650452931721,3.4888888888888885,314,9000
0,0_trigger,,73,24.66390834160652,76.3,6867,9000
1,1_trigger,,73,8.081974100470333,98.82222222222222,8894,9000
2,2_trigger,,73,1.6496939832899307,99.83333333333333,8985,9000
3,3_trigger,,73,8.583552261311146,98.23333333333333,8841,9000
4,4_trigger,,73,0.02969589572482639,99.9888888888889,8999,9000
5,5_trigger,,73,5.439904559797711,98.94444444444444,8905,9000
6,6_trigger,,73,0.042643798828125,99.97777777777777,8998,9000
7,7_trigger,,73,23.72036442851184,94.02222222222221,8462,9000
8,8_trigger,,73,0.8836803385416667,99.91111111111111,8992,9000
9,9_trigger,,73,9.728604501300389,98.33333333333333,8850,9000
10,10_trigger,,73,10.557106039121795,99.1,8919,9000
